@relation TrainingSet

@attribute Longitude numeric
@attribute Latitude numeric
@attribute Type {Reef,Tiger,Bull,White,Shark,Galapagos,Lemon,Whale,Gray,Mako,Nurse,Blue,Hammerhead,Porbeagle,Blacktip,Silky,Silvertip,Sandbar,Basking,Cow,Whitetip,Zebra}

@data
135,-25,Reef
-80.05699,26.6159,Tiger
-122.33207,47.60621,Bull
1.44367,43.60426,White
-155.99556,19.64056,Shark
-122.33207,47.60621,White
-80.05699,26.6159,Tiger
-80.41394,37.22957,White
174.76667,-36.86667,Shark
-80.41394,37.22957,White
174.45,-36.81667,Shark
-117.55477,33.53419,White
-117.55477,33.53419,White
-87.65005,41.85003,Shark
47.75,29.5,Shark
114.01667,22.3,Shark
-80.41394,37.22957,White
-80.05699,26.6159,Tiger
-97.32085,32.72541,Shark
-84.38798,33.749,Shark
-80.41394,37.22957,White
-88.33333,15.08333,Tiger
-117.99923,33.6603,Galapagos
-80.41394,37.22957,Shark
-80.41394,37.22957,White
114.01667,22.3,Shark
-80.41394,37.22957,White
0,0,Shark
4.88969,52.37403,Lemon
-122.41942,37.77493,White
-80.41394,37.22957,White
-80.41394,37.22957,White
-80.41394,37.22957,White
151.77647,-32.92715,Bull
135.183,34.6913,Whale
135,-25,Bull
-80.41394,37.22957,White
-98.5,39.76,Gray
135,-25,White
-80.41394,37.22957,White
-113.64258,60.10867,White
0,0,Lemon
-79.4163,43.70011,Mako
114.01667,22.3,Shark
-79.4163,43.70011,White
100.50144,13.75398,Shark
135,-25,White
-0.32719,51.06395,Reef
-0.0061,51.12382,Tiger
174.45,-36.81667,Shark
-122.33207,47.60621,Shark
-80.41394,37.22957,White
-87.65005,41.85003,White
-80.05699,26.6159,Tiger
151.20732,-33.86785,Nurse
135,-25,White
-117.55477,33.53419,Blue
-122.0308,36.97412,White
-84.38798,33.749,Shark
-80.41394,37.22957,White
-121.91662,36.61774,Whale
-80.41394,37.22957,White
-79.4163,43.70011,Blue
-80.41394,37.22957,White
73.50888,4.1748,Whale
-80.41394,37.22957,White
-122.41942,37.77493,Whale
-2.35622,49.43331,White
-79.4163,43.70011,Whale
-74.00597,40.71427,Tiger
67.0822,24.9056,Shark
-117.99923,33.6603,Galapagos
47.75,29.5,Shark
-80.41394,37.22957,White
-79.4163,43.70011,Blue
-0.32719,51.06395,Reef
-110.92648,32.22174,Tiger
121.53185,25.04776,White
-80.41394,37.22957,White
-79.4163,43.70011,Shark
-80.41394,37.22957,White
-79.4163,43.70011,White
-79.4163,43.70011,Tiger
-114.31291,48.19579,White
-122.41942,37.77493,Hammerhead
8.01427,47.00016,Porbeagle
-86.62,36.30477,Shark
2,46,Blacktip
-87.65005,41.85003,Whale
-80.41394,37.22957,White
135,-25,Bull
149.12807,-35.28346,Nurse
-80.05699,26.6159,Lemon
-87.65005,41.85003,Lemon
-80.41394,37.22957,White
-2.09814,57.14369,Whale
-118.24368,34.05223,White
-79.4163,43.70011,Whale
149.12807,-35.28346,Nurse
-80.05699,26.6159,Reef
-79.4163,43.70011,Silky
-0.0061,51.12382,Tiger
-155.99556,19.64056,Reef
73.50888,4.1748,Reef
-0.0061,51.12382,Lemon
-79.4163,43.70011,Lemon
-2.35622,49.43331,Shark
114.01667,22.3,Shark
114.01667,22.3,Shark
-87.65005,41.85003,White
-79.4163,43.70011,Lemon
-117.99923,33.6603,Reef
-122.0308,36.97412,Silvertip
-1.89983,52.48142,Whale
14.50194,35.9125,Shark
-117.55477,33.53419,Lemon
114.01667,22.3,Shark
-71.10561,42.3751,Reef
-157.85833,21.30694,Galapagos
-87.65005,41.85003,Lemon
-98.5,39.76,Gray
-79.4163,43.70011,Reef
116.0724,5.9749,White
-28.45404,38.42836,Blue
-155.99556,19.64056,Galapagos
-117.99923,33.6603,Tiger
-87.65005,41.85003,White
-80.05699,26.6159,Lemon
-88.23206,16.96921,Whale
-79.4163,43.70011,Reef
-117.99923,33.6603,Shark
0,0,Shark
-79.4163,43.70011,Silky
-80.05699,26.6159,Reef
-79.4163,43.70011,Reef
-79.4163,43.70011,Lemon
1.29834,52.62783,Shark
-80.05699,26.6159,Tiger
-79.4163,43.70011,Shark
-80.41394,37.22957,White
-84.37382,33.78649,Shark
-79.4163,43.70011,White
151.20732,-33.86785,Shark
-79.4163,43.70011,Blue
-3.70256,40.4165,Tiger
-2.35622,49.43331,White
135,-25,White
4.88969,52.37403,Reef
-117.99923,33.6603,Sandbar
-92.50046,38.25031,Shark
151.20732,-33.86785,Nurse
-79.4163,43.70011,Blue
-80.41394,37.22957,White
4.88969,52.37403,Reef
-0.0061,51.12382,Tiger
4.88969,52.37403,White
-74.65905,40.34872,Shark
1.58333,42.55,Lemon
-88.18343,43.42528,Shark
-80.41394,37.22957,White
-80.41394,37.22957,White
149.12807,-35.28346,Nurse
-80.41394,37.22957,White
-98.5,39.76,Tiger
151.20732,-33.86785,Nurse
-0.0061,51.12382,Lemon
-118.49119,34.01945,Blue
-80.41394,37.22957,White
-86.84656,21.17429,Shark
-79.4163,43.70011,Tiger
4.88969,52.37403,Tiger
-2.35622,49.43331,White
-2.35622,49.43331,Shark
-80.05699,26.6159,Tiger
-155.99556,19.64056,Reef
151.20732,-33.86785,Gray
-79.4163,43.70011,Hammerhead
-0.12574,51.50853,Basking
0,0,Shark
12.51133,41.89193,Shark
4.88969,52.37403,Lemon
0,0,Reef
153.02809,-27.46794,Shark
-80.41394,37.22957,White
135,-25,Shark
-80.41394,37.22957,Whale
-7.61138,33.58831,Shark
-80.41394,37.22957,White
-79.4163,43.70011,Blue
-157.85833,21.30694,Tiger
116.0724,5.9749,Whale
103.8,1.36667,Shark
-80.41394,37.22957,White
-117.99923,33.6603,Galapagos
-0.12574,51.50853,White
-80.41394,37.22957,White
-79.4163,43.70011,Nurse
-4.75,50.41667,Basking
-80.05699,26.6159,Tiger
121.53185,25.04776,White
-117.99923,33.6603,Lemon
153.43088,-28.00029,Nurse
-79.4163,43.70011,Whale
-117.99923,33.6603,Tiger
-0.12574,51.50853,Reef
149.12807,-35.28346,Nurse
4.88969,52.37403,Reef
-79.4163,43.70011,Blue
-3.70256,40.4165,Whale
-0.32719,51.06395,Shark
-80.41394,37.22957,White
135,-25,White
22,39,Shark
14.43333,35.91667,Shark
116.0724,5.9749,White
-122.41942,37.77493,Tiger
-79.10139,35.5825,Shark
149.12807,-35.28346,Nurse
10.5,51.5,Reef
116.0724,5.9749,Whale
-122.03635,37.36883,Shark
-79.4163,43.70011,Reef
-3.70256,40.4165,White
-80.41394,37.22957,White
-117.99923,33.6603,White
-117.99923,33.6603,Galapagos
-118.24368,34.05223,Shark
-86.84656,21.17429,Whale
-80.41394,37.22957,White
151.20732,-33.86785,Nurse
