@relation TrainingSet

@attribute Type {Reef,Tiger,Bull,White,Shark,Galapagos,Whale,Mako,Hammerhead,Nurse,Blue,Porbeagle,Gray,Lemon,Blacktip,Silky,Silvertip,Sandbar,Basking,Cow,Whitetip,Zebra}
@attribute Location {Australia,'United States',France,'New Zealand',Kuwait,'Hong Kong',Honduras,Pakistan,Japan,Canada,Thailand,Switzerland,'South Korea',Guernsey,Maldives,'United Kingdom',Taiwan,Netherlands,Portugal,Spain,Andorra,Malta,Malaysia,Belize,Mexico,Italy,Morocco,Singapore,Greece,Germany,'South Africa',China,Lebanon,Sweden,Philippines,Norway,Brazil,Russia,'Costa Rica',Mozambique}

@data
Reef,Australia
Tiger,'United States'
Bull,'United States'
White,France
Shark,'United States'
White,'United States'
Tiger,'United States'
Shark,'New Zealand'
White,'United States'
White,'United States'
Shark,'United States'
Shark,Kuwait
Shark,'Hong Kong'
Shark,'United States'
White,'United States'
Tiger,Honduras
Galapagos,'United States'
White,'United States'
White,'United States'
Shark,Pakistan
White,'United States'
Bull,Australia
White,'United States'
Whale,Japan
White,Australia
White,'United States'
Mako,Canada
White,Canada
Hammerhead,'United States'
Shark,Thailand
Shark,'United States'
White,'United States'
White,'United States'
Tiger,'United States'
Nurse,Australia
White,Australia
Blue,'United States'
White,'United States'
Shark,'United States'
White,'United States'
Shark,'United States'
Whale,'United States'
Blue,Canada
White,'United States'
Porbeagle,Switzerland
Shark,'New Zealand'
Gray,'United States'
Lemon,'South Korea'
White,Guernsey
Tiger,'United States'
White,'United States'
Whale,'United States'
Whale,Maldives
Galapagos,'United States'
Shark,Kuwait
Reef,'United Kingdom'
White,Taiwan
White,'United States'
Shark,Canada
White,'United States'
White,'United States'
White,'United States'
Whale,Canada
White,'United States'
Blue,Canada
Blacktip,France
White,Canada
White,'United States'
Nurse,Australia
White,Canada
Lemon,'United States'
White,'United States'
Whale,'United Kingdom'
White,'United States'
Shark,'New Zealand'
Tiger,'United States'
Lemon,Netherlands
White,'United States'
Shark,'Hong Kong'
Bull,Australia
White,'United States'
White,'United States'
Shark,'Hong Kong'
Shark,'United States'
White,Australia
Tiger,'United Kingdom'
Tiger,'United States'
Tiger,Canada
Bull,Australia
Shark,Pakistan
Lemon,'United States'
Reef,'United States'
Galapagos,'United States'
Lemon,'United States'
Blue,Portugal
Galapagos,'United States'
Reef,Canada
Shark,'United States'
Shark,'United States'
Silky,Canada
Reef,Canada
Shark,Canada
White,'United States'
White,Canada
Shark,'Hong Kong'
Blue,Canada
Tiger,Spain
White,Guernsey
Reef,Netherlands
Shark,'United States'
Nurse,Australia
Tiger,'United Kingdom'
Shark,'United States'
Shark,'United States'
Lemon,Andorra
Nurse,Australia
White,'United States'
Tiger,'United States'
Nurse,Australia
Reef,Canada
Tiger,Canada
White,Guernsey
Shark,Guernsey
White,'United States'
Whale,Canada
Nurse,Australia
Reef,'United States'
Silky,Canada
Tiger,'United States'
Tiger,'United Kingdom'
Reef,'United States'
Reef,Maldives
Lemon,'United Kingdom'
Whale,'United States'
Lemon,Canada
Reef,'United Kingdom'
Shark,'Hong Kong'
White,'United States'
Reef,'United States'
Silvertip,'United States'
Shark,Malta
Lemon,Canada
Lemon,'United States'
White,'United States'
Gray,'United States'
White,Malaysia
Reef,'United States'
Tiger,'United States'
White,'United States'
Lemon,'United States'
Whale,Belize
Shark,Guernsey
Reef,'United States'
Lemon,Canada
Shark,'United Kingdom'
Tiger,'United States'
Shark,Australia
White,Australia
Sandbar,'United States'
White,'United States'
Shark,'Hong Kong'
White,Netherlands
Shark,'United States'
White,'United States'
Blue,Canada
Gray,Australia
Lemon,'United Kingdom'
Shark,Mexico
Blue,'United States'
Tiger,Netherlands
Shark,Australia
Shark,Australia
Shark,Italy
Lemon,Netherlands
Reef,'United States'
Shark,Australia
Galapagos,'United States'
Reef,'United Kingdom'
Galapagos,Australia
Shark,'United States'
White,'United States'
White,'United States'
Shark,Australia
Whale,'United States'
Shark,Morocco
White,'United States'
Shark,'United States'
Tiger,'United States'
Shark,Singapore
Galapagos,'United States'
White,'United Kingdom'
Lemon,'United States'
Hammerhead,Canada
Blue,Canada
Basking,'United Kingdom'
Tiger,'United States'
White,Taiwan
White,'United States'
Lemon,'United States'
Nurse,Australia
Whale,Canada
Tiger,'United States'
Reef,'United Kingdom'
Whale,Malaysia
Nurse,Australia
Reef,Netherlands
Blue,Canada
Whale,Spain
Shark,'United Kingdom'
White,Australia
White,'United States'
Shark,Greece
Shark,Malta
Tiger,'United States'
Shark,'United States'
Nurse,Australia
Reef,Germany
Whale,Malaysia
Shark,'United States'
Reef,Canada
White,Spain
Whale,'United States'
